source_id,target_id,target_type,relation_type,description
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_1,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_2,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7_2,92/2000/QĐ-NHNN7_4,ARTICLE,GUIDE,
92/2000/qđ-nhnn7_2,92/2000/QĐ-NHNN7_5,ARTICLE,GUIDE,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_3,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7_3,92/2000/qđ-nhnn7_4,ARTICLE,GUIDE,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_4,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_5,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7_5,92/2000/qđ-nhnn7_4,ARTICLE,GUIDE,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_6,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7_6,92/2000/qđ-nhnn7_5,ARTICLE,GUIDE,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_7,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_8,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_9,ARTICLE,CONTAIN,
92/2000/qđ-nhnn7,92/2000/qđ-nhnn7_10,ARTICLE,CONTAIN,
38/2000/qđ-nhnn1,38/2000/qđ-nhnn1_1,ARTICLE,CONTAIN,
38/2000/qđ-nhnn1,38/2000/qđ-nhnn1_2,ARTICLE,CONTAIN,
38/2000/qđ-nhnn1,38/2000/qđ-nhnn1_3,ARTICLE,CONTAIN,
38/2000/qđ-nhnn1,38/2000/qđ-nhnn1_4,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_1,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_2,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_3,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_4,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_5,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_6,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_7,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_8,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_9,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_10,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_11,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_12,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_13,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_14,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_15,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_16,ARTICLE,CONTAIN,
37/2000/qđ-nhnn1,37/2000/qđ-nhnn1_17,ARTICLE,CONTAIN,
75/2000/qđ-ttg,75/2000/qđ-ttg_1,ARTICLE,CONTAIN,
75/2000/qđ-ttg,75/2000/qđ-ttg_2,ARTICLE,CONTAIN,
75/2000/qđ-ttg,75/2000/qđ-ttg_3,ARTICLE,CONTAIN,
191/1999/qđ-nhnnl,191/1999/qđ-nhnnl_1,ARTICLE,CONTAIN,
191/1999/qđ-nhnnl_1,51/1999/QĐ-NHNN1_11,ARTICLE,GUIDE,
191/1999/qđ-nhnnl,191/1999/qđ-nhnnl_2,ARTICLE,CONTAIN,
191/1999/qđ-nhnnl,191/1999/qđ-nhnnl_3,ARTICLE,CONTAIN,
